epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,716.511,1.3329,1.24671,1.67737,0.82862,0.72232,0.81515,0.43035,1.65067,1.20187,2.16116,0.000996313,0.000996313,0.000996313
43,736.053,1.33199,1.256,1.667,0.82848,0.67405,0.78175,0.39659,1.73566,1.28116,2.23865,0.000990125,0.000990125,0.000990125
44,752.763,1.29795,1.20791,1.64239,0.77539,0.71588,0.78705,0.41558,1.62894,1.22684,2.12071,0.000983938,0.000983938,0.000983938
45,771.488,1.31779,1.26296,1.68066,0.78431,0.64138,0.77334,0.39981,1.70076,1.21655,2.21404,0.00097775,0.00097775,0.00097775
46,788.131,1.30848,1.24034,1.65935,0.77398,0.72865,0.77798,0.40745,1.68351,1.20346,2.19969,0.000971562,0.000971562,0.000971562
47,806.299,1.312,1.23903,1.66638,0.7804,0.69381,0.77236,0.42121,1.63172,1.25002,2.157,0.000965375,0.000965375,0.000965375
48,821.875,1.30956,1.25692,1.64952,0.8174,0.73663,0.80654,0.43053,1.63554,1.13493,2.14937,0.000959187,0.000959187,0.000959187
49,839.861,1.30169,1.23657,1.65248,0.75267,0.68869,0.76376,0.41156,1.66383,1.22824,2.13996,0.000953,0.000953,0.000953
50,856.009,1.29985,1.19583,1.64892,0.83296,0.68637,0.80036,0.42679,1.63918,1.16776,2.1593,0.000946812,0.000946812,0.000946812
51,872.393,1.33817,1.22613,1.69082,0.79482,0.69779,0.78517,0.4185,1.66145,1.21068,2.1673,0.000940625,0.000940625,0.000940625
52,890.643,1.26755,1.16558,1.62094,0.80416,0.68607,0.78953,0.41394,1.69621,1.23253,2.18084,0.000934438,0.000934438,0.000934438
53,906.645,1.2781,1.13649,1.62914,0.82964,0.69077,0.7911,0.40447,1.75814,1.18116,2.24913,0.00092825,0.00092825,0.00092825
54,924.87,1.25925,1.15122,1.6158,0.76478,0.73891,0.78887,0.41798,1.67201,1.2125,2.14815,0.000922063,0.000922063,0.000922063
55,940.629,1.25416,1.12849,1.62468,0.82428,0.70033,0.79309,0.42223,1.70082,1.16275,2.21778,0.000915875,0.000915875,0.000915875
56,958.634,1.26591,1.18566,1.6279,0.75649,0.71283,0.77602,0.41567,1.69649,1.22631,2.20478,0.000909688,0.000909688,0.000909688
57,974.787,1.26542,1.16729,1.63764,0.78114,0.72596,0.78519,0.41296,1.70041,1.19725,2.21218,0.0009035,0.0009035,0.0009035
58,993.353,1.26749,1.14311,1.61685,0.8118,0.71011,0.78824,0.4109,1.715,1.16558,2.2367,0.000897313,0.000897313,0.000897313
59,1009.65,1.2521,1.10435,1.59613,0.74022,0.75765,0.79743,0.42978,1.67619,1.19101,2.17924,0.000891125,0.000891125,0.000891125
60,1026.14,1.26917,1.11588,1.63359,0.77064,0.7779,0.81426,0.43833,1.65841,1.13403,2.15158,0.000884938,0.000884938,0.000884938
61,1044.87,1.26645,1.14403,1.62877,0.82722,0.6965,0.80581,0.44559,1.66449,1.16181,2.16084,0.00087875,0.00087875,0.00087875
62,1061.03,1.26182,1.15108,1.63632,0.84818,0.6577,0.77103,0.41553,1.70214,1.26866,2.21533,0.000872563,0.000872563,0.000872563
63,1079.39,1.23402,1.12054,1.59287,0.7431,0.70907,0.77758,0.41272,1.67032,1.20871,2.22631,0.000866375,0.000866375,0.000866375
64,1095.92,1.23782,1.1128,1.59148,0.8266,0.68858,0.7861,0.42364,1.67801,1.15415,2.21225,0.000860188,0.000860188,0.000860188
65,1114.49,1.22229,1.09025,1.59205,0.8053,0.71088,0.81297,0.43361,1.64391,1.12648,2.16271,0.000854,0.000854,0.000854
66,1130.5,1.24946,1.16182,1.61726,0.81671,0.71041,0.78148,0.40139,1.70759,1.17584,2.25074,0.000847813,0.000847813,0.000847813
67,1146.76,1.25045,1.10755,1.61331,0.79084,0.73231,0.80887,0.44701,1.65253,1.11181,2.13081,0.000841625,0.000841625,0.000841625
68,1165.22,1.25548,1.12399,1.61031,0.84538,0.7094,0.79767,0.4214,1.69406,1.11657,2.24182,0.000835438,0.000835438,0.000835438
69,1182.84,1.2243,1.062,1.58716,0.80929,0.77732,0.83402,0.46761,1.58514,1.07801,2.09987,0.00082925,0.00082925,0.00082925
70,1198.17,1.22828,1.05712,1.58893,0.83422,0.72547,0.82126,0.44466,1.62459,1.10384,2.17233,0.000823063,0.000823063,0.000823063
71,1216.48,1.19162,1.05989,1.57713,0.82435,0.72438,0.8239,0.45518,1.60932,1.09274,2.11818,0.000816875,0.000816875,0.000816875
72,1233.05,1.23083,1.09495,1.59889,0.82361,0.75612,0.82246,0.44929,1.60237,1.05272,2.12942,0.000810688,0.000810688,0.000810688
73,1249.53,1.20911,1.05183,1.57227,0.79078,0.73157,0.79383,0.42899,1.66712,1.13825,2.20657,0.0008045,0.0008045,0.0008045
74,1267.59,1.21747,1.07491,1.59243,0.7358,0.77467,0.80012,0.4221,1.73305,1.11534,2.21297,0.000798313,0.000798313,0.000798313
75,1283.74,1.23498,1.08795,1.60203,0.8122,0.7384,0.82019,0.44051,1.65778,1.1764,2.20349,0.000792125,0.000792125,0.000792125
76,1301.47,1.20702,1.02527,1.58039,0.79104,0.75176,0.80872,0.43018,1.68601,1.13254,2.21672,0.000785938,0.000785938,0.000785938
77,1317.16,1.18378,1.04749,1.57144,0.85733,0.76462,0.83515,0.45857,1.58274,1.04612,2.09822,0.00077975,0.00077975,0.00077975
78,1335.37,1.18871,1.01283,1.55095,0.78856,0.72678,0.78103,0.4239,1.72645,1.15808,2.24637,0.000773563,0.000773563,0.000773563
79,1351.68,1.22631,1.03512,1.58155,0.79591,0.70488,0.80384,0.43475,1.6703,1.11303,2.1879,0.000767375,0.000767375,0.000767375
80,1369.94,1.18073,1.01271,1.54972,0.84438,0.73599,0.8247,0.45002,1.60422,1.05726,2.1215,0.000761188,0.000761188,0.000761188
81,1386.35,1.17991,0.99075,1.54318,0.7612,0.75429,0.79918,0.42097,1.7272,1.11529,2.28301,0.000755,0.000755,0.000755
82,1402.44,1.18705,0.99922,1.54928,0.83878,0.76724,0.83165,0.45026,1.65066,1.07152,2.21019,0.000748813,0.000748813,0.000748813
83,1420.15,1.18182,0.97673,1.55256,0.80349,0.81198,0.85985,0.45762,1.70153,1.02735,2.21254,0.000742625,0.000742625,0.000742625
84,1435.81,1.16165,0.9798,1.53502,0.82714,0.76354,0.8455,0.46028,1.62026,1.01752,2.1436,0.000736438,0.000736438,0.000736438
85,1453.55,1.15804,0.94737,1.54743,0.85554,0.77371,0.84846,0.45411,1.64125,1.0056,2.16484,0.00073025,0.00073025,0.00073025
86,1469.51,1.16629,1.01049,1.55781,0.77301,0.76939,0.83116,0.44693,1.64962,1.08501,2.22303,0.000724062,0.000724062,0.000724062
87,1487.66,1.16057,0.98699,1.53304,0.81002,0.758,0.81911,0.45169,1.60474,1.03511,2.16022,0.000717875,0.000717875,0.000717875
88,1503.94,1.16058,0.96778,1.53147,0.81464,0.73698,0.80389,0.4504,1.59953,1.04767,2.15306,0.000711687,0.000711687,0.000711687
89,1522.09,1.1315,0.94108,1.51737,0.81865,0.77948,0.82873,0.45333,1.62136,1.05766,2.12614,0.0007055,0.0007055,0.0007055
90,1537.75,1.1433,0.9714,1.52316,0.77689,0.69558,0.76483,0.4091,1.67616,1.24049,2.25049,0.000699312,0.000699312,0.000699312
91,1553.49,1.12889,0.96011,1.51466,0.84537,0.7416,0.81094,0.4333,1.67845,1.09125,2.23308,0.000693125,0.000693125,0.000693125
92,1572.19,1.12681,0.94487,1.51498,0.8078,0.68912,0.77809,0.42987,1.65517,1.05152,2.2138,0.000686937,0.000686937,0.000686937
93,1588.87,1.15298,0.96236,1.52386,0.80937,0.74551,0.80457,0.4297,1.68654,1.0731,2.27094,0.00068075,0.00068075,0.00068075
94,1607.14,1.15326,0.97488,1.52806,0.79634,0.77226,0.82096,0.45818,1.61536,1.05814,2.1407,0.000674562,0.000674562,0.000674562
95,1625.37,1.11701,0.95672,1.51147,0.78324,0.78159,0.81724,0.43408,1.69853,1.05227,2.24655,0.000668375,0.000668375,0.000668375
96,1644.08,1.11609,0.90264,1.50947,0.85945,0.76477,0.83634,0.46434,1.62482,0.98795,2.17212,0.000662188,0.000662188,0.000662188
97,1660.12,1.10827,0.92426,1.50544,0.82169,0.79172,0.84224,0.45694,1.69169,1.04022,2.25071,0.000656,0.000656,0.000656
98,1675.88,1.13326,0.90102,1.50469,0.79924,0.77189,0.83643,0.44821,1.66322,1.00372,2.2053,0.000649813,0.000649813,0.000649813
99,1693.9,1.10762,0.92243,1.49591,0.85047,0.78375,0.84607,0.4491,1.67843,0.96825,2.20864,0.000643625,0.000643625,0.000643625
100,1710.02,1.13787,0.93723,1.50689,0.82491,0.80553,0.85997,0.47554,1.60532,0.95347,2.16104,0.000637437,0.000637437,0.000637437
101,1728.84,1.10849,0.89931,1.49509,0.84291,0.78154,0.85,0.4691,1.6403,0.96126,2.19662,0.00063125,0.00063125,0.00063125
102,1745.3,1.10046,0.89657,1.49406,0.80869,0.76306,0.82246,0.44725,1.67239,1.05601,2.19504,0.000625062,0.000625062,0.000625062
103,1763.92,1.10091,0.88796,1.48827,0.83285,0.76423,0.84182,0.47583,1.60878,0.97801,2.12621,0.000618875,0.000618875,0.000618875
104,1780.23,1.09709,0.86617,1.47561,0.85809,0.76355,0.84465,0.46971,1.62632,0.99132,2.17607,0.000612687,0.000612687,0.000612687
105,1796.24,1.07194,0.85186,1.46161,0.84383,0.81601,0.86429,0.46826,1.61244,0.94458,2.17084,0.0006065,0.0006065,0.0006065
106,1814.15,1.07295,0.90759,1.47328,0.84386,0.78094,0.84823,0.45271,1.64567,0.96615,2.17266,0.000600313,0.000600313,0.000600313
107,1829.73,1.0618,0.88404,1.46364,0.85508,0.79184,0.85053,0.46463,1.65092,1.00085,2.19638,0.000594125,0.000594125,0.000594125
108,1847.49,1.05177,0.87175,1.4431,0.81975,0.80548,0.83975,0.4761,1.60597,0.97701,2.13407,0.000587938,0.000587938,0.000587938
109,1863.58,1.06959,0.84568,1.47123,0.8528,0.78238,0.85094,0.45537,1.6391,1.02771,2.19319,0.00058175,0.00058175,0.00058175
110,1881.32,1.03996,0.85269,1.45699,0.8824,0.75468,0.8463,0.46428,1.64995,0.99316,2.15413,0.000575563,0.000575563,0.000575563
111,1896.92,1.04132,0.84058,1.44304,0.80074,0.74649,0.80469,0.43753,1.62435,1.00899,2.15643,0.000569375,0.000569375,0.000569375
112,1914.92,1.05705,0.82438,1.4522,0.83662,0.77543,0.83944,0.469,1.6544,1.02354,2.16327,0.000563187,0.000563187,0.000563187
113,1930.78,1.07624,0.85933,1.46866,0.83348,0.78922,0.85097,0.48248,1.58312,0.95033,2.13929,0.000557,0.000557,0.000557
114,1947.61,1.04443,0.81268,1.44542,0.75942,0.81057,0.84052,0.45966,1.6485,0.96763,2.18267,0.000550813,0.000550813,0.000550813
115,1966.07,1.06434,0.8389,1.44737,0.82827,0.74838,0.82511,0.45694,1.65581,1.03746,2.21489,0.000544625,0.000544625,0.000544625
116,1982.63,1.04329,0.82419,1.44919,0.86399,0.77985,0.85071,0.46753,1.62578,0.97718,2.17356,0.000538438,0.000538438,0.000538438
117,2001.13,1.03021,0.82614,1.44284,0.8531,0.78866,0.83694,0.48105,1.54497,0.96961,2.08242,0.00053225,0.00053225,0.00053225
118,2016.76,0.99457,0.79751,1.41445,0.80089,0.81293,0.82994,0.45769,1.65829,1.0017,2.22391,0.000526063,0.000526063,0.000526063
119,2034.8,1.0428,0.84076,1.43746,0.85124,0.79095,0.84377,0.46378,1.63638,0.96724,2.18932,0.000519875,0.000519875,0.000519875
120,2050.94,1.01539,0.82139,1.4227,0.84155,0.80679,0.85538,0.47108,1.60675,0.92851,2.16475,0.000513688,0.000513688,0.000513688
121,2067.5,1.03702,0.82844,1.4405,0.8321,0.81408,0.86265,0.47114,1.6327,0.94112,2.16659,0.0005075,0.0005075,0.0005075
122,2086.57,1.00586,0.79711,1.42716,0.83467,0.80761,0.86057,0.4764,1.59625,0.9301,2.12859,0.000501313,0.000501313,0.000501313
123,2103.69,1.01116,0.79685,1.42229,0.84651,0.79879,0.85111,0.47315,1.63824,0.98711,2.20409,0.000495125,0.000495125,0.000495125
124,2121.95,1.0115,0.79988,1.42603,0.89466,0.77556,0.86366,0.48001,1.61376,0.91087,2.19663,0.000488938,0.000488938,0.000488938
125,2137.67,1.02076,0.79354,1.44462,0.84956,0.78382,0.84421,0.4781,1.59797,0.97683,2.15701,0.00048275,0.00048275,0.00048275
126,2155.45,1.02012,0.78124,1.41459,0.84903,0.77932,0.84878,0.46751,1.57992,0.92476,2.11783,0.000476562,0.000476562,0.000476562
