epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,113.26,0.62651,5.3351,0.76025,0.45431,0.37875,0.24071,0.10355,0.55235,1.49918,0.95684,0.000415123,0.000415123,0.000415123
2,220.683,0.50293,1.18078,0.61081,0.43773,0.52346,0.41603,0.2018,0.47688,1.2011,0.81414,0.000827673,0.000827673,0.000827673
3,342.876,0.51636,1.12583,0.62108,0.48957,0.43378,0.40493,0.17722,0.52604,1.33444,0.83118,0.0012361,0.0012361,0.0012361
4,458.119,0.48905,1.13176,0.58033,0.5454,0.42369,0.40376,0.19377,0.49654,1.29963,0.8212,0.00123144,0.00123144,0.00123144
5,573.747,0.47886,1.16497,0.5586,0.46497,0.45806,0.44837,0.22012,0.44796,1.35836,0.70563,0.00122525,0.00122525,0.00122525
6,692.028,0.48307,1.1243,0.57087,0.52587,0.51591,0.49486,0.24029,0.50937,1.16448,0.85366,0.00121906,0.00121906,0.00121906
7,807.718,0.46443,1.13346,0.55062,0.47014,0.52157,0.45044,0.22197,0.52011,1.13226,0.90437,0.00121287,0.00121287,0.00121287
