epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,3111.47,0.4211,1.03918,0.48169,0.50837,0.60376,0.56843,0.3148,0.43939,1.0844,0.71034,0.000990125,0.000990125,0.000990125
44,3182.91,0.42116,1.0068,0.49399,0.62485,0.55999,0.59157,0.30688,0.43723,1.11234,0.72396,0.000983938,0.000983938,0.000983938
45,3257.59,0.42456,0.95108,0.49748,0.57959,0.58356,0.57539,0.30378,0.42546,1.08311,0.71994,0.00097775,0.00097775,0.00097775
46,3329.51,0.41731,0.97706,0.48506,0.62456,0.60967,0.6233,0.32562,0.45286,0.9976,0.76389,0.000971562,0.000971562,0.000971562
47,3403.68,0.42385,0.94869,0.50562,0.65229,0.60464,0.60296,0.33771,0.43118,1.0351,0.71421,0.000965375,0.000965375,0.000965375
48,3478.11,0.42161,0.91478,0.49007,0.59321,0.59003,0.62202,0.32512,0.46139,1.05607,0.78529,0.000959187,0.000959187,0.000959187
49,3552.9,0.4099,0.94267,0.4841,0.58825,0.50327,0.54251,0.29826,0.46234,1.10804,0.79012,0.000953,0.000953,0.000953
50,3626.25,0.41613,0.91545,0.50859,0.7349,0.64001,0.69168,0.34955,0.46624,0.91688,0.81516,0.000946812,0.000946812,0.000946812
51,3701.45,0.41367,0.88234,0.51029,0.61934,0.49819,0.48665,0.25518,0.47071,1.06318,0.85597,0.000940625,0.000940625,0.000940625
52,3774.16,0.40489,0.92915,0.47878,0.62137,0.65424,0.65511,0.34307,0.45463,0.99395,0.813,0.000934438,0.000934438,0.000934438
53,3847.03,0.40048,0.87722,0.48753,0.67125,0.62855,0.66571,0.35449,0.44992,0.87468,0.78295,0.00092825,0.00092825,0.00092825
54,3919.7,0.3984,0.8623,0.48424,0.71439,0.62003,0.67356,0.35582,0.47681,0.89379,0.82134,0.000922063,0.000922063,0.000922063
55,3990.29,0.4157,0.85605,0.50861,0.65231,0.68203,0.6816,0.36825,0.45137,0.86766,0.77677,0.000915875,0.000915875,0.000915875
56,4062.81,0.40897,0.8456,0.48868,0.73682,0.62218,0.67903,0.36869,0.41514,0.96565,0.72604,0.000909688,0.000909688,0.000909688
57,4133.55,0.39652,0.84136,0.48155,0.7178,0.67423,0.70626,0.37979,0.45628,0.83992,0.80714,0.0009035,0.0009035,0.0009035
58,4234.17,0.40445,0.84409,0.50259,0.702,0.59693,0.66357,0.35885,0.44483,0.93634,0.76998,0.000897313,0.000897313,0.000897313
59,4305.44,0.40365,0.83274,0.4877,0.72958,0.63273,0.70165,0.37286,0.46497,0.86003,0.85049,0.000891125,0.000891125,0.000891125
60,4375.85,0.40033,0.8405,0.48005,0.74919,0.66712,0.71784,0.39663,0.43424,0.81778,0.79758,0.000884938,0.000884938,0.000884938
61,4449.2,0.40001,0.81112,0.4883,0.75436,0.70121,0.75094,0.41528,0.45468,0.78407,0.81861,0.00087875,0.00087875,0.00087875
62,4522.17,0.40221,0.83418,0.4872,0.69313,0.64916,0.71473,0.3897,0.42895,0.91042,0.73781,0.000872563,0.000872563,0.000872563
63,4595.66,0.41396,0.78862,0.50205,0.73622,0.71138,0.74499,0.39617,0.45197,0.82173,0.83602,0.000866375,0.000866375,0.000866375
64,4666.01,0.39764,0.80572,0.4872,0.7426,0.63517,0.69194,0.37491,0.46487,0.86033,0.83895,0.000860188,0.000860188,0.000860188
65,4738.6,0.40462,0.79253,0.4983,0.76649,0.67649,0.73549,0.39088,0.44324,0.83645,0.80164,0.000854,0.000854,0.000854
66,4809.35,0.39351,0.77496,0.48352,0.7685,0.66033,0.73932,0.38732,0.46951,0.8149,0.85463,0.000847813,0.000847813,0.000847813
67,4882.26,0.39009,0.78543,0.47836,0.82913,0.65475,0.76308,0.42358,0.436,0.85565,0.75209,0.000841625,0.000841625,0.000841625
68,4952.92,0.38616,0.78054,0.48048,0.73275,0.7118,0.77395,0.43278,0.4217,0.82351,0.74197,0.000835438,0.000835438,0.000835438
69,5026.11,0.38685,0.77665,0.46977,0.71833,0.65688,0.6675,0.35632,0.45242,0.90642,0.81131,0.00082925,0.00082925,0.00082925
70,5097.75,0.39277,0.75733,0.4865,0.80096,0.69293,0.75411,0.41037,0.44866,0.81442,0.8255,0.000823063,0.000823063,0.000823063
71,5171.15,0.39462,0.75226,0.48449,0.69921,0.74345,0.73814,0.39819,0.45454,0.78905,0.876,0.000816875,0.000816875,0.000816875
72,5240.82,0.39138,0.74907,0.4875,0.7233,0.69606,0.7584,0.39034,0.46427,0.77952,0.83649,0.000810688,0.000810688,0.000810688
73,5313.43,0.39069,0.7733,0.48072,0.74999,0.68491,0.74207,0.40115,0.46132,0.79135,0.8421,0.0008045,0.0008045,0.0008045
74,5386.45,0.37775,0.76172,0.46996,0.75826,0.66254,0.70526,0.37446,0.48806,0.81243,0.89589,0.000798313,0.000798313,0.000798313
75,5459.22,0.39196,0.73438,0.47119,0.76115,0.71424,0.776,0.43626,0.44628,0.75852,0.81252,0.000792125,0.000792125,0.000792125
76,5534.88,0.39596,0.69941,0.47092,0.76938,0.71985,0.78462,0.43059,0.44755,0.76176,0.82378,0.000785938,0.000785938,0.000785938
