epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
183,13521.5,0.28357,0.44769,0.35175,0.8118,0.80028,0.80791,0.4416,0.48747,0.63343,0.95426,0.000123875,0.000123875,0.000123875
184,13594.2,0.27854,0.45555,0.33527,0.82774,0.8119,0.81871,0.45462,0.48254,0.63098,0.9115,0.000117687,0.000117687,0.000117687
185,13672.8,0.2856,0.44467,0.33813,0.85254,0.80469,0.83258,0.44925,0.49222,0.62433,0.94319,0.0001115,0.0001115,0.0001115
186,13750.8,0.28421,0.43396,0.33869,0.84894,0.81022,0.82939,0.45175,0.49424,0.61017,0.94505,0.000105312,0.000105312,0.000105312
187,13824.7,0.27296,0.43798,0.33078,0.85496,0.81045,0.82929,0.45773,0.48558,0.61866,0.93099,9.9125e-05,9.9125e-05,9.9125e-05
188,13899.6,0.27886,0.44335,0.33357,0.87135,0.80407,0.82751,0.46069,0.49022,0.58775,0.94509,9.29375e-05,9.29375e-05,9.29375e-05
189,13973.2,0.27757,0.43928,0.32949,0.84489,0.79155,0.81419,0.46038,0.48842,0.6113,0.93002,8.675e-05,8.675e-05,8.675e-05
190,14046.3,0.27974,0.44816,0.34784,0.83528,0.82041,0.82567,0.46295,0.48597,0.60683,0.91331,8.05625e-05,8.05625e-05,8.05625e-05
191,14123.4,0.24468,0.3756,0.402,0.86836,0.82088,0.8515,0.46558,0.4889,0.59479,0.93912,7.4375e-05,7.4375e-05,7.4375e-05
192,14195.9,0.24474,0.34558,0.39386,0.85738,0.8201,0.84,0.47249,0.48778,0.59137,0.91852,6.81875e-05,6.81875e-05,6.81875e-05
193,14268.9,0.23239,0.35401,0.37434,0.89741,0.80697,0.85017,0.47195,0.48338,0.59208,0.92386,6.2e-05,6.2e-05,6.2e-05
194,14343.1,0.23572,0.33795,0.38418,0.87374,0.81752,0.83745,0.47278,0.4774,0.59798,0.901,5.58125e-05,5.58125e-05,5.58125e-05
195,14416.7,0.2306,0.33968,0.37143,0.86879,0.82287,0.837,0.46947,0.47934,0.59629,0.91288,4.9625e-05,4.9625e-05,4.9625e-05
196,14489.1,0.23826,0.32542,0.39498,0.88416,0.81071,0.83594,0.47053,0.4841,0.58808,0.93572,4.34375e-05,4.34375e-05,4.34375e-05
197,14563.5,0.22865,0.33344,0.3719,0.87051,0.81904,0.83262,0.46677,0.4887,0.58769,0.94886,3.725e-05,3.725e-05,3.725e-05
198,14637.7,0.22645,0.33115,0.35328,0.86264,0.81891,0.83286,0.46968,0.47999,0.59543,0.91429,3.10625e-05,3.10625e-05,3.10625e-05
199,14710,0.22622,0.32589,0.36675,0.87093,0.80152,0.83041,0.46887,0.48,0.59136,0.91183,2.4875e-05,2.4875e-05,2.4875e-05
200,14784.9,0.22727,0.31403,0.36152,0.85527,0.80758,0.83791,0.46958,0.48081,0.59483,0.90302,1.86875e-05,1.86875e-05,1.86875e-05
